"","STATE","STNAME","AGEGRP","RACE","ESTIM","MR","NUM_DIFF","EOC","COVERAGE"
"275",5,"Arkansas",15,"NHPI_A",38,26,-12,-37.5,"undercount"
"276",5,"Arkansas",15,"NHPI_AIC",80,49,-31,-48.06,"undercount"
"277",5,"Arkansas",16,"A_A",381,357,-24,-6.5,"undercount"
"278",5,"Arkansas",16,"A_AIC",455,246,-209,-59.63,"undercount"
"279",5,"Arkansas",16,"NHPI_A",28,16,-12,-54.55,"undercount"
"280",5,"Arkansas",16,"NHPI_AIC",57,18,-39,-104,"undercount"
"281",5,"Arkansas",17,"A_A",254,209,-45,-19.44,"undercount"
"282",5,"Arkansas",17,"A_AIC",304,189,-115,-46.65,"undercount"
"283",5,"Arkansas",17,"NHPI_A",20,11,-9,-58.06,"undercount"
"284",5,"Arkansas",17,"NHPI_AIC",40,23,-17,-53.97,"undercount"
"285",5,"Arkansas",18,"A_A",156,130,-26,-18.18,"undercount"
"286",5,"Arkansas",18,"A_AIC",218,125,-93,-54.23,"undercount"
"287",5,"Arkansas",18,"NHPI_A",35,6,-29,-141.46,"undercount"
"288",5,"Arkansas",18,"NHPI_AIC",53,19,-34,-94.44,"undercount"
"289",6,"California",1,"A_A",295013,283840,-11173,-3.86,"undercount"
"290",6,"California",1,"A_AIC",376824,387189,10365,2.71,"overcount"
"291",6,"California",1,"NHPI_A",12126,13753,1627,12.57,"overcount"
"292",6,"California",1,"NHPI_AIC",26927,30381,3454,12.05,"overcount"
"293",6,"California",2,"A_A",289379,290530,1151,0.4,"overcount"
"294",6,"California",2,"A_AIC",361038,379498,18460,4.99,"overcount"
"295",6,"California",2,"NHPI_A",11415,13456,2041,16.41,"overcount"
"296",6,"California",2,"NHPI_AIC",25799,27656,1857,6.95,"overcount"
"297",6,"California",3,"A_A",266829,294384,27555,9.82,"overcount"
"298",6,"California",3,"A_AIC",323570,372607,49037,14.09,"overcount"
"299",6,"California",3,"NHPI_A",12474,14441,1967,14.62,"overcount"
"300",6,"California",3,"NHPI_AIC",23994,28352,4358,16.65,"overcount"
"301",6,"California",4,"A_A",285602,333420,47818,15.45,"overcount"
"302",6,"California",4,"A_AIC",334912,405356,70444,19.03,"overcount"
"303",6,"California",4,"NHPI_A",13536,16747,3211,21.21,"overcount"
"304",6,"California",4,"NHPI_AIC",23917,30903,6986,25.49,"overcount"
"305",6,"California",5,"A_A",289742,363189,73447,22.5,"overcount"
"306",6,"California",5,"A_AIC",332586,422169,89583,23.74,"overcount"
"307",6,"California",5,"NHPI_A",13146,17025,3879,25.71,"overcount"
"308",6,"California",5,"NHPI_AIC",23084,29558,6474,24.6,"overcount"
"309",6,"California",6,"A_A",359263,387605,28342,7.59,"overcount"
"310",6,"California",6,"A_AIC",398075,439040,40965,9.79,"overcount"
"311",6,"California",6,"NHPI_A",13360,16120,2760,18.72,"overcount"
"312",6,"California",6,"NHPI_AIC",23473,27682,4209,16.46,"overcount"
"313",6,"California",7,"A_A",397415,388420,-8995,-2.29,"undercount"
"314",6,"California",7,"A_AIC",429144,431064,1920,0.45,"overcount"
"315",6,"California",7,"NHPI_A",13262,14274,1012,7.35,"overcount"
"316",6,"California",7,"NHPI_AIC",22383,23993,1610,6.94,"overcount"
"317",6,"California",8,"A_A",402690,417740,15050,3.67,"overcount"
"318",6,"California",8,"A_AIC",429695,452982,23287,5.28,"overcount"
"319",6,"California",8,"NHPI_A",12031,13172,1141,9.05,"overcount"
"320",6,"California",8,"NHPI_AIC",19642,21190,1548,7.58,"overcount"
"321",6,"California",9,"A_A",375181,388766,13585,3.56,"overcount"
"322",6,"California",9,"A_AIC",399188,419433,20245,4.95,"overcount"
"323",6,"California",9,"NHPI_A",12199,13081,882,6.98,"overcount"
"324",6,"California",9,"NHPI_AIC",19583,20647,1064,5.29,"overcount"
"325",6,"California",10,"A_A",361000,381698,20698,5.57,"overcount"
"326",6,"California",10,"A_AIC",382963,410667,27704,6.98,"overcount"
"327",6,"California",10,"NHPI_A",12117,12848,731,5.86,"overcount"
"328",6,"California",10,"NHPI_AIC",19535,20541,1006,5.02,"overcount"
"329",6,"California",11,"A_A",339928,361716,21788,6.21,"overcount"
"330",6,"California",11,"A_AIC",358878,386525,27647,7.42,"overcount"
"331",6,"California",11,"NHPI_A",10188,11008,820,7.74,"overcount"
"332",6,"California",11,"NHPI_AIC",16543,17729,1186,6.92,"overcount"
"333",6,"California",12,"A_A",301126,318234,17108,5.52,"overcount"
"334",6,"California",12,"A_AIC",314316,335446,21130,6.5,"overcount"
"335",6,"California",12,"NHPI_A",7997,8320,323,3.96,"overcount"
"336",6,"California",12,"NHPI_AIC",12772,13184,412,3.17,"overcount"
"337",6,"California",13,"A_A",246668,259014,12346,4.88,"overcount"
"338",6,"California",13,"A_AIC",255847,271004,15157,5.75,"overcount"
"339",6,"California",13,"NHPI_A",6116,6342,226,3.63,"overcount"
"340",6,"California",13,"NHPI_AIC",9645,10019,374,3.8,"overcount"
"341",6,"California",14,"A_A",169021,177830,8809,5.08,"overcount"
"342",6,"California",14,"A_AIC",175169,185691,10522,5.83,"overcount"
"343",6,"California",14,"NHPI_A",4052,4037,-15,-0.37,"undercount"
"344",6,"California",14,"NHPI_AIC",6579,6514,-65,-0.99,"undercount"
"345",6,"California",15,"A_A",135941,141735,5794,4.17,"overcount"
"346",6,"California",15,"A_AIC",140638,147694,7056,4.89,"overcount"
"347",6,"California",15,"NHPI_A",3089,2912,-177,-5.9,"undercount"
"348",6,"California",15,"NHPI_AIC",4799,4657,-142,-3,"undercount"
"349",6,"California",16,"A_A",106458,108036,1578,1.47,"overcount"
"350",6,"California",16,"A_AIC",110185,112748,2563,2.3,"overcount"
"351",6,"California",16,"NHPI_A",2078,1899,-179,-9,"undercount"
"352",6,"California",16,"NHPI_AIC",3289,3213,-76,-2.34,"undercount"
"353",6,"California",17,"A_A",79875,76705,-3170,-4.05,"undercount"
"354",6,"California",17,"A_AIC",82408,79890,-2518,-3.1,"undercount"
"355",6,"California",17,"NHPI_A",1254,1133,-121,-10.14,"undercount"
"356",6,"California",17,"NHPI_AIC",2153,2044,-109,-5.19,"undercount"
"357",6,"California",18,"A_A",76899,65261,-11638,-16.37,"undercount"
