"","STNAME","CTYNAME","RACE","MR"
"347","AL","Sumter County","NHPI_AIC",5
"348","AL","Sumter County","NHPI_A",2
"349","AL","Talladega County","A_AIC",247
"350","AL","Talladega County","A_A",165
"351","AL","Talladega County","NHPI_AIC",53
"352","AL","Talladega County","NHPI_A",21
"353","AL","Tallapoosa County","A_AIC",103
"354","AL","Tallapoosa County","A_A",80
"355","AL","Tallapoosa County","NHPI_AIC",22
"356","AL","Tallapoosa County","NHPI_A",3
"357","AL","Tuscaloosa County","A_AIC",1830
"358","AL","Tuscaloosa County","A_A",1546
"359","AL","Tuscaloosa County","NHPI_AIC",119
"360","AL","Tuscaloosa County","NHPI_A",52
"361","AL","Walker County","A_AIC",213
"362","AL","Walker County","A_A",149
"363","AL","Walker County","NHPI_AIC",25
"364","AL","Walker County","NHPI_A",14
"365","AL","Washington County","A_AIC",37
"366","AL","Washington County","A_A",11
"367","AL","Washington County","NHPI_AIC",9
"368","AL","Washington County","NHPI_A",5
"369","AL","Wilcox County","A_AIC",22
"370","AL","Wilcox County","A_A",17
"371","AL","Wilcox County","NHPI_AIC",3
"372","AL","Wilcox County","NHPI_A",2
"373","AL","Winston County","A_AIC",53
"374","AL","Winston County","A_A",33
"375","AL","Winston County","NHPI_AIC",15
"376","AL","Winston County","NHPI_A",4
"377","AR","Arkansas County","A_AIC",98
"378","AR","Arkansas County","A_A",74
"379","AR","Arkansas County","NHPI_AIC",13
"380","AR","Arkansas County","NHPI_A",1
"381","AR","Ashley County","A_AIC",83
"382","AR","Ashley County","A_A",53
"383","AR","Ashley County","NHPI_AIC",14
"384","AR","Ashley County","NHPI_A",11
"385","AR","Baxter County","A_AIC",192
"386","AR","Baxter County","A_A",131
"387","AR","Baxter County","NHPI_AIC",27
"388","AR","Baxter County","NHPI_A",9
"389","AR","Benton County","A_AIC",2049
"390","AR","Benton County","A_A",1743
"391","AR","Benton County","NHPI_AIC",231
"392","AR","Benton County","NHPI_A",164
"393","AR","Boone County","A_AIC",149
"394","AR","Boone County","A_A",110
"395","AR","Boone County","NHPI_AIC",18
"396","AR","Boone County","NHPI_A",8
"397","AR","Bradley County","A_AIC",19
"398","AR","Bradley County","A_A",16
"399","AR","Bradley County","NHPI_AIC",3
"400","AR","Bradley County","NHPI_A",1
"401","AR","Calhoun County","A_AIC",10
"402","AR","Calhoun County","A_A",2
"403","AR","Calhoun County","NHPI_AIC",3
"404","AR","Calhoun County","NHPI_A",0
"405","AR","Carroll County","A_AIC",127
"406","AR","Carroll County","A_A",108
"407","AR","Carroll County","NHPI_AIC",29
"408","AR","Carroll County","NHPI_A",21
"409","AR","Chicot County","A_AIC",92
"410","AR","Chicot County","A_A",62
"411","AR","Chicot County","NHPI_AIC",20
